id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
31757|Graphic Designer|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Smart Casual|23 days|1- 50 pekerja|Retail/Merchandise|We are seeking a highly motivated, confident individual who is a responsible team player with self-driven abilities—possess strong, detailed skills in developing creative ideas and work in a fast-paced and dynamic work environment and industry.The ideal candidate will be responsible for all graphic and design needs of the company and will also be heavily involved with the marketing team in content curation creation and management of our brands' social media accounts.Roles & ResponsibilitiesWork closely with marketing team to generate and execute ideasResponsible for all graphic design needs of the companyResponsible for content curation and creation of SERIAL brandsDesign promotional and event collaterals for both print and webCoordinate and responsible for production and timelines with team to meet overall campaign deadlinesCollaborate with other team members to produce effective presentations for business developments and clientsRequirementsBachelor's degree in Graphic Design or relevant fieldA minimum of 1 year experience in design or relevant fieldCompelling portfolio of work over a wide range of creative projectsHas a strong visual awareness in design and current lifestyle trendsExperience in managing social media accountsExcellent proficiency with design softwareWeb, video and/or photography skills a plusPersonality TraitsExcellent eye for detailsOrganizedResourcefulTeam playerSociableProactivePunctualCreativeCritical
31758|Helper|Yogyakarta|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||SMA, SMU/SMK/STM|Penuh Waktu|Teknik,Teknik Lainnya||||Manufaktur/Produksi|Memasang dan Memproduksi jendela dan pintu UPVC, nantinya akan kami pasangkan dengan tenaga/tukang yang sudah ahliKualifikasiJujurSehat jasmaniTerbiasa kerja dengan lapanganRajinBerkelakuan baikUsia min 18 th maks.40 thnMinimal pendidikan SLTA/sederajatMau ditugaskan luar kota jika diperlukan seperti jabodetabek
31759|Admin / Marketing Support|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Staf / Administrasi umum||||Umum & Grosir|PT. NATURASA AROMA NUSANTARA is a distributor of Natural Flavor, Essential Oils, Extract, and other natural ingredient in Indonesia. We have been servicing the industry for more than a decade and trusted by many leading manufacturers. We are currently seeking highly motivated individuals to fill in the following position :Admin / Marketing SupportQualifications:Age max. 30 years oldDiploma degree or higher in Economy / Business Administration from an accredited College or UniversityFresh Graduate is welcomed to apply for the position.Energetic, creative, goal oriented, loyal, a team player, and must be able to work under low supervision.Intermediate in English, both oral and writtenExcellent organizational and multitasking skillsFamiliar with Microsoft product & GoogleFamiliar with Media social app, Photoshop / Adobe will be advantageResponsibilities:Process orders and check data accuracy in orders and invoicesContact clients to obtain missing information or answer queriesLiaise with the Logistics department to ensure timely deliveriesMaintain and update sales and customer recordsCommunicate important feedback from customers internallyEnsure sales targets are met and report any deviationsStay up-to-date with new products and features
31760|PROJECT MANAGER BAJA|Jakarta Raya|IDR|Manajer/Asisten Manajer|5 tahun|Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan|Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Uniform;08.00 - 16.00|29 days|201 - 500 pekerja|Konstruksi/Bangunan/Teknik|Persyaratan :Pengalaman minimal 5 (lima) tahun sebagai Project Manager (BAJA) (sebagai Perusahaan Kontraktor)Pendidikan S1 Teknik SipilPengalaman di proyek high rise building / workshop / Hospital, Pabrik, Gudang, dllMemahami Sistem Manajemen Mutu & K3Menguasai manajemen kontruksi (Perencanaan, Pelaksanaan & Penjadwalan Proyek)Memahami prosedur dan metode kerja proyek high rise buildingMampu menganalisa & mengontrol budgetMemahami rencana mutu proyek & rencana anggaran proyekMenguasai tentang Quality ControlBersedia di tempatkan di proyek (dalam dan luar kota)
31761|API Developer|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi Gigi;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|28 days|201 - 500 pekerja|Perbankan/Pelayanan Keuangan|Responsibilities:Write clean, reusable, testable and efficient codes to build the API Gateway componentsUse CI/CD tools to automate the test and deployment processResolve complex technical issues in timely manner in order to support BAUAnalyse user requirement and translate such requirements into design documentsDocument key design decisionsTake ownership of the tasks assigned and deliver with qualityCommunicate effectively and professionally in all forms of communication with internal requestorsHelp with other ad-hoc work as the need arise within the organizationRequirements:A Degree/Diploma in Computer Science or Computer Engineering from reputable universityPreferably 2 years’ experience working in a software development team (school project counts)Proud of solving real-world issues and making people’s life betterGood programming skills in the following languages: Java, Javascript, Shell ScriptingPrior experience in SOAP/XML, RESTful API and/or microservice development preferredExperience in database design and development in SQL queries and stored procedureKeen interest in Financial Products, Open-Source stack, Agile and Continuous DeliveryHands on experience in CI/CD pipeline by using GIT, Jenkins, JIRAStrong problem-solving skills using good judgmentsKeen interest to research and learn new technologiesAble to learn fast and adapt quickly
31762|SALES BRAND REALME|Tasikmalaya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||SMA, SMU/SMK/STM|Kontrak|Penjualan / Pemasaran,Penjualan - Korporasi|Tip;Asuransi kesehatan;Pinjaman;Parkir;Bisnis (contoh: Kemeja)|4 days|501 - 1000 pekerja|Elektrikal & Elektronik|Tanggung jawab pekerjaan:Menjual dan mendistribusikan produk handphone all brandBertanggung jawab dan berkomitmen terhadap pencapaian target yang diberikanMenjalin hubungan yang baik dengan rekan bisnisTaat dan patuh serta menjalankan SOP perusahaanKemampuan menganalisa yang baik dan bertanggung jawabDapat mengarahkan dan menganalisa sasaran mana dan kepada siapa produk akan ditawarkan dan dijualMenguasai product knowledge Kualifikasi:Usia maksimal 35 tahunminimal lulusan SMA/SMKMemiliki kemampuan komunikasi yang baikHuman relationPrice policy (mengerti aturan harga jual)Approach (pendekatan kepada rekan bisnis)Selling skillMampu mencapai target penjualanDOMISILI SEMARANG DAN BANJARNEGARA DAN WONOSOBO, TEGAL, MAJALENGKA, CIREBON, TASIKMALAYA, CIAMISFasilitasGaji dan InsentiveBPJS kesehatan dan ketenagakerjaanPelatihanJenjang Karir
31763|Sekretaris Direksi|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sekretaris|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|9 days|51 - 200 pekerja|Komputer/Teknik Informatika (Perangkat Lunak)|Radya Labs saat ini mencari asisten pribadi atau sekretaris yang mampu membantu tim direksi. Posisi ini diharapkan untuk mengelola jadwal, data, dan mampu bekerja sama dengan tim direksi maupun dengan kru Radya Labs lainnya. Kualifikasi yang dicari :Menyenangi dan memiliki pengetahuan dasar tentang IT khususnya SoftwareMemiliki pemahaman tentang bisnisMampu dan memiliki pengalaman membuat power point yang profesional dan menarikMenguasai dan memiliki keterampilan menggunakan Microsoft OfficeDiutamakan telah memiliki pengalaman sebagai asisten pribadi atau sekretarisMinimal lulusan S1 Teknik Industri dengan nilai mata kuliah Manajemen Inovasi minimal BTeliti dan DetailTerbiasa bekerja dengan ritme yang cepatMemiliki kemampuan komunikasi yang baik (lisan maupun tulisan)Dapat bekerjasamaSiap dan mau belajar serta mengembangkan kemampuan diri
31764|Management Trainee|Jakarta Raya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||Sarjana (S1)|Penuh Waktu|Lainnya,Lainnya/Kategori tidak tersedia||23 days|201 - 500 pekerja|Manajemen/Konsulting HR|Held minimum Bachelor degree (S1) from any major, reputable university prefered.GPA minimum 3.00 or above. Maximum age 25 years oldMaximum 2 years working experienceProficient in English & have strong communication skillsWilling to be placed at Jabodetabek area.Strong anakytical thinking and capable to learn new thingsGeneral responsibilitiesThis position will be trained to be managerial level within 2 years form the company.Learn how to be working on the organization in any positions
31765|SUPERVISOR DISTRIBUSI MOBIL, HRD DAN ADH|Tangerang|IDR|Supervisor/Koordinator||Tidak terspesifikasi|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR|Asuransi kesehatan;Bisnis (contoh: Kemeja);Senin-Sabtu 08.00-17.00||51 - 200 pekerja|Automobil/Mesin Tambahan Automotif/Kendaraan|KRITERIA :USIA MAKSIMAL 35 TAHUNPENDIDIKAN MINIMAL D3/S1 SEMUA JURUSANPENGALAMAN DIBIDANG DISTRIBUTOR UNIT OTOMOTIFDAPAT BEKERJA DIBAWAH TEKANANMEMILIKI KEMAMPUAN KOMUNIKASI YANG BAIKFAMILIAR MENGGUNAKAN KOMPUTER DENGAN PROGRAM MICROSOFT OFFICE (WORD,EXCEL,POWER POINT,OUTLOOK EMAIL DAN INTERNET)KRITERIA HRD :USIA MAKSIMAL 35 TAHUNPENDIDKAN MINIMAL D3/S1 SEMUA JURUSANPENGALAMAN DIBIDANG RECRUITMENT DAN ASSESTMENT MINIMAL 2 TAHUNDAPAT BEKERJA DIBAWAH TEKANANMEMILIKI KEMAMPUAN KOMUNIKASI YANG BAIKFAMILIAR MENGGUNAKAN KOMPUTER DENGAN PROGRAM MICROSOFT OFFICE (WORD,EXCEL,POWER POINT,OUTLOOK EMAIL DAN INTERNET)KRITERIA ADMIN HEAD :USIA MAKSIMAL 35 TAHUNPENDIDKAN MINIMAL D3/S1 SEMUA JURUSANPENGALAMAN DIBIDANG ADMINITRASI OTOMOTIF MINIMAL 2 TAHUNDAPAT BEKERJA DIBAWAH TEKANANMEMILIKI KEMAMPUAN KOMUNIKASI YANG BAIKFAMILIAR MENGGUNAKAN KOMPUTER DENGAN PROGRAM MICROSOFT OFFICE (WORD,EXCEL,POWER POINT,OUTLOOK EMAIL DAN INTERNET)
31766|Pengawas Lapangan|Sidoarjo|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Sarjana (S1)|Penuh Waktu|Bangunan/Konstruksi,Properti/Real Estate|Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|30 days|51 - 200 pekerja|Retail/Merchandise|Persyaratan :1.   Maksimum 35 Tahun2.   Pendidikan minimal D3/S1 Teknik Sipil3.   Memiliki pengalaman kerja dibidang sipil/pekerjaan baja/pergudangan/pembangunan rumah minimal 3 tahun4.   Menguasai Auto CAD , MS-Office, dan software sejenis5.   Bisa membaca alat (waterpas dan theodolit)6.   Dapat Bekerjasama dalam team7.   Dapat berkerja dibawa tekanan8.   Bersedia ditempatkan diseluruh proyek PT Makmur Berkah Amanda Tbk.Tanggung Jawab :1.   Dapat menghitung kebutuhan material pelaksanaan2.   Memeriksa dan mempelajari dokumen untuk pelaksanaan kontruksi yang akan dijadikan dasar dalam pengawasan pekerjaan di lapangan3.   Mengawasi pemakaian bahan, peralatan dan metode pelaksanaan4.   Mengawasi pelaksanaan pekerjaan kontruksi dari segi kualitas, kuantitas dan laju pencapaian volume/realisasi fisik5.   Memberikan instruksi-instruksi serta petunjuk-petunjuk yang perlu kepada Mandor / Kontraktor dalam pelaksanaan pekerjaan agar benar-benar berlangsung sesuai dengan ketetapan-ketetapan kontrak6.   Mengumpulkan data dan informasi di lapangan untuk memecahkan persoalan yang terjadi selama pekerjaan konstruksi
31767|Staff Laundry|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Hotel/Restoran,Hotel/Pariwisata||||Perawatan/Kecantikan/Fitnes|Syarat :Maximal 35thWajib berpengalaman dilaundry (cuci, setrika uap, packing)Jujur , Rapi , resik, cekatan bertanggung jawabSiap kerja 12jamFasilitas :Tersedia tempat tinggal (Kemayoran)GajiMakan cateringIncentiveBonus targetLembur / overtimeTugas dan Tanggung Jawab:Mengoperasikan mesin laundryBisa menyetrika (menggunakan setrika uap)Packing pakaian yang sudah selesai dicuci dan disetrika
31768|PHP & WordPress Developer|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Snack, Food, Tax, Comfort Office|27 days|1- 50 pekerja|Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)|The successful applicant will carry out the following duties and responsibilities:Should have knowledge of plugin/theme development and customization.Understanding of custom post types and custom templates.The candidate should be able to work on assignments with the least guidanceResponsible for robust and efficient implementationSuggest technical solutions for short and long termCollaborate with team members and across groups to prepare technical specifications.Design and develop high-quality code.Test, debug, analyze and fix application problems/issues.Work closely with stakeholders to fix issues in a timely fashion.Participate in code reviews in accordance with program specifications and coding standards, practices, and conventions, new designs, changes, and enhancements.Interact with stakeholders (internal and external) to support product releases and/or resolve program problems.Research and remain informed of new technology and development tools.The successful applicant will have the following experience and skills:Strong knowledge of WordPress and Shopify PlatformExpertise in Custom Theme Development and Plugin DevelopmentExpertise in Plugin Integration (Woo-commerce, WPML, Membership plugins, etc)Should understand how to make manageable from admin panelUnderstands architecture and knows how to perform database and code optimization for WordPress and ShopifyExpertise in HTML5, CSS3, JavaScriptProficiency in PHP/MYSQL and AJAXThe ability to work on the LAMP development environmentA thorough understanding of cross-browser compatibility issuesStrong understanding of responsive web design techniquesUnderstanding of W3C Web Standards/Semantics and Accessibility GuidelinesAn ability to work on multiple projects and tasks at the same time.Great attention to detail, highly organized.
31769|Sales Executive|Bogor|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Bisnis (contoh: Kemeja)||1- 50 pekerja|Properti/Real Estate|PT. Kuripan Raya (Telaga Kahuripan) Modern Township dengan luas 750Ha sedang membuka lowongan pekerjaan untuk posisi sebagai Sales Executive dengan kualifikasi sebagai berikut:1. Pendidikan maksimal S1 (semua jurusan)2. Minimal 1 tahun pengalaman sebagai Sales Property3. Gigih, jujur, pekerja keras, dan siap bekerja dibawah tekanan4. Lokasi bekerja di Telaga Kahuripan (Parung, Kab. Bogor)Benefit:1. Gaji Pokok: Rp. 3.075.000,-2. Tunjangan: Rp. 1.025.000,- (didapatkan apabila memenuhi persyaratan yaitu membawa 10 appointment pada periode penggajian bulan berjalan atau mendapat penjualan minimal 1 unit / bulan)3. Komisi selama periode launching adalah:a. Jual 1 unit = 1%b. Jual 2 unit = 1,25 %c. Jual 3 unit, dst = 1,5 %4. Bonus Penjualan: 2.000.000,- / unit
31770|Social media specialist|Jakarta Utara|IDR|Manajer/Asisten Manajer|1 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);great experience|21 days|51 - 200 pekerja|Makanan & Minuman/Katering/Restoran|Social Media Specialist job descriptionDevelop, implement and manage our social media strategyDefine most important social media KPIsManage and oversee social media contentMeasure the success of every social media campaignStay up to date with the latest social media best practices and technologiesUse social media marketing tools such as BufferAttend educational conferencesWork with copywriters and designers to ensure content is informative and appealingCollaborate with Marketing, Sales and Product Development teamsMonitor SEO and user engagement and suggest content optimizationCommunicate with industry professionals and influencers via social media to create a strong networkHire and train others in the teamProvide constructive feedbackPrep EDiTORIAL PLAN for company brand contentGood communication n analytical skillUnderstanding off how to create engaging social mediamake TikTok contentup to date with trending topic on social media and digital workRequirementsProven working experience in social media marketing or as a Digital Media SpecialistMinimal 1 year in FNBFuneasy goingknow the newest trendhigh techExcellent consulting, writing, editing (photo/video/text), presentation and communication skillsDemonstrable social networking experience and social analytics toolsknowing ADS toolsKnowledge of online marketing and good understanding of major marketing channelsPositive attitude, detail and customer oriented with good multitasking and organisational abilityFluency in EnglishBS in Communications, Marketing, Business, New Media or Public Relations
31771|SEO & Content Specialist|Kalimantan Barat|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Paruh Waktu|Penjualan / Pemasaran,Digital Marketing|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|4 days|1- 50 pekerja|Manufaktur/Produksi|We are looking for a reliable SEO & Content Specialist to boost our website ranking in the search engine. We expect the candidate to be able to bring in more quality and related visitor to our site, making quality content and also to make an excellent quality backlink.Jobdesk Overview:- Making quality content with topics based on search console, keyword planner or analytics- Analyze and revise content that has been made to better improve the page rank- Develop excellent backlink that could bring in more visitors to further improve page rank- Working together with marketing team to finish projectsThe salary for this role is up to IDR 66.500.000 annually. You can work from anywhere in the world. this role is fully remote!How to apply and our hiring processTake a ~15-minute online skills test—no CVs or cover letters needed. If you’re still reading, just go ahead and give it a go!After that, if all goes well:Video testPaid test weekOffer ContractOnly one seat available for this role, do not miss this opportunity.Are you ready?
31772|Recruiter (fluent in English)|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR|Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Health, BPJS Labor, Private Health Insurance, Allowances|20 days|51 - 200 pekerja|Umum & Grosir|Responsibilities : Manage the full cycle of recruitment activities and candidate experienceAdvertise positions and source candidates via various platforms including digital.Screening and selection of suitable candidates within reasonable timeframes to present short lists to management, which may include the use of psychometric tests to determine suitability of candidates as well as initial interviews.Drive recruitment innovation to achieve market leadership in talent attraction.Partner with business leaders to determine hiring needs, anticipate talents needs and fill key roles.Requirements :At least 3 years of experience in recruitment and talent acquisition, either agency or in-housePrior experience working in fast paced and high volume environment will be a huge advantageSolid knowledge of sourcing techniques (e.g. Boolean search, Boolean strings);Solid understanding of HR practices and labor legislationStrong fluency in English to work with APAC officeAble to START ASAP!
